Country,2021_Overall score,2021_Government,2021_Technology Sector,2021_Data and Infrastructure,2022_Overall score,2022_Government,2022_Technology Sector,2022_Data and Infrastructure,2023_Overall score,2023_Government,2023_Technology Sector,2023_Data and Infrastructure,2024_Overall score,2024_Government,2024_Technology Sector,2024_Data and Infrastructure
United States of America,88.15961153,88.4581425,83.30771897,92.71297313,85.72133804,86.20660091,81.67365015,89.28376304,84.79617127,86.04465046,81.0236913,87.32017205,87.03218182,89.25756783,80.94382938,88.3787777
Singapore,82.45681323,94.87694458,66.69260177,85.80089333,84.1162602,89.67926241,68.49824042,94.17127778,81.97096482,90.39858238,66.19180008,89.32251199,84.24944106,90.96203242,68.65095021,84.61080264
Finland,79.23374229,88.44736792,63.85213601,85.40172295,77.59332703,87.80395514,58.70558427,86.27044168,77.36514132,88.34366826,60.3587057,83.39305001,76.48471791,84.8551772,60.86452189,72.6019184
Netherlands,78.50681097,80.42401396,66.17470313,88.92171583,75.11228339,78.23424407,59.94020309,87.16240301,74.46899594,78.89586209,61.95684764,82.55427809,77.22980432,84.57516125,60.11523769,79.52938973
Sweden,78.1646107,80.759755,67.37248085,86.36159625,73.05606154,74.03249059,61.47333601,83.66235803,72.55428782,74.69926646,62.70639302,80.25720399,75.40286681,80.60159542,63.45043064,73.55294243
Canada,77.73085276,84.36103375,63.75410312,85.07742142,77.38916245,84.10594337,64.41014296,83.65140102,77.0688933,85.30357359,64.72864875,81.17445757,78.17529665,85.48311818,61.6932845,70.39891481
Germany,77.26444673,78.04322271,67.68410138,86.0660161,72.64159902,75.21989624,60.41656762,82.28833321,75.26152044,80.78397038,63.28455505,81.7160359,76.89826844,79.23642648,64.91302571,74.85653233
Denmark,76.95991775,83.49694967,63.23844189,84.1443617,74.79016756,83.26029132,58.39463463,82.71557673,73.91202307,84.10504957,59.97736792,77.65365171,74.71009478,84.07023817,57.16672731,72.93709984
Republic of Korea,76.54734155,85.26555604,58.4863105,85.89015813,76.75699843,86.816844,53.95513065,89.49902062,75.64511212,87.55252773,54.36450926,85.01829936,79.97780202,84.59225863,62.60153369,86.25783442
France,76.41358024,82.09731063,60.61032769,86.5331024,75.78358408,83.04049701,59.3594424,84.95081284,76.0747579,84.02516926,60.39946081,83.79964363,79.35754271,85.2928569,63.53019992,76.19764767
Japan,76.17752679,81.89842771,59.31174815,87.3224045,75.2536366,81.21898096,56.090212,88.45171684,75.07579217,82.76466261,56.85336145,85.60935244,75.74917653,80.30980046,57.96186637,79.13120303
Norway,76.13517078,84.242891,59.25352368,84.90909767,73.0897855,81.10871503,53.43532959,84.7253119,72.71208818,81.76846383,54.96792055,81.39988016,76.11968176,86.37752969,56.27794881,71.09118275
Australia,75.40980096,83.79237875,57.07186627,85.36515786,75.29178001,81.81908125,54.11468623,89.94157255,73.8886426,83.34456114,52.56753446,85.75383219,76.44726827,86.18252567,56.25758071,68.38925109
China,74.42075762,83.7872901,61.32953978,78.14544298,70.83634174,78.75335119,59.84129666,73.91437736,70.94344937,77.31729699,60.75880711,74.75424402,72.0098981,72.89843786,62.95301811,79.84257585
Luxembourg,73.37376397,82.66669883,50.65529621,86.79929686,67.90883906,82.5719618,43.32012009,77.83443529,69.40775632,83.11109411,46.50816245,78.60401239,70.62575172,84.66929577,43.80789727,68.71572495
Ireland,72.79927998,74.696885,61.11201516,82.58893979,70.75787951,69.89510614,57.5962622,84.78227019,69.82192222,71.51255972,56.95748759,80.99571936,73.18014934,75.468796,58.12529886,67.31901222
Taiwan,71.97943147,77.59488359,59.41924204,78.92416879,72.78496134,77.40113829,55.01666192,85.9370838,70.25307405,75.33310472,54.58043305,80.84568438,74.58025606,82.98348324,56.37386335,77.77842628
United Arab Emirates,71.59684283,79.41127701,53.32882013,82.05043133,68.54401914,73.52510744,52.18913371,79.91781628,70.42303308,78.32252669,56.66634434,76.28022822,75.65804571,83.88904081,59.19872953,74.95579339
Israel,70.00840751,64.63928271,65.86633892,79.51960091,70.11641725,63.3278098,64.99719243,82.02424952,65.4642356,53.67519243,66.29290327,76.42461111,74.52155598,79.29803488,61.5287992,64.67217059
Estonia,69.18310231,77.64502625,49.45723473,80.44704594,70.14246449,80.00297661,51.95297743,78.47143942,70.86482958,80.53692617,52.52231257,79.53525,72.61871555,86.70600702,48.96505058,59.00061941
